Parameters,Values,Unit
Max total connections,220,-
Optimised connections,220,-
Total capture potential,126.94859201858297,MtCO2pa
Total capture volume,126.95,MtCO2pa
Total capture volume fossil,23.07,MtCO2pa
Total capture volume bio,103.88,MtCO2pa
Biomass use,1347.4323164850891,TWhpa
Average T&S costs,32.37,EUR/tCO2pa
Total costs,0,EUR/tCO2Reducedpa
Pipeline cost,1689.397023382311,MEURpa
Storage cost,186.87618994350032,MEURpa
Booster cost,178.57607926223685,MEURpa
MIPgap,0.0,%
C-grid-type,coarse,-
